country,type,weekday,year,month,day,localtime,timeofday
usa,Underground,Friday,1965,12,3,7:13:02,Morning
usa,Underground,Thursday,1965,12,16,7:39:18,Morning
usa,Underground,Thursday,1965,12,16,11:15:00,Morning
usa,Underground,Thursday,1966,1,13,7:37:43,Morning
usa,Underground,Tuesday,1966,1,18,10:35:00,Morning
usa,Underground,Tuesday,1966,1,18,10:35:00,Morning
usa,Underground,Friday,1966,1,21,10:28:00,Morning
usa,Underground,Saturday,1966,1,22,7:17:19,Morning
usa,Underground,Thursday,1966,2,3,10:17:37,Morning
usa,Underground,Thursday,1966,2,24,7:55:07,Morning
usa,Underground,Saturday,1966,3,5,10:15:00,Morning
usa,Underground,Monday,1966,3,7,10:41:00,Morning
usa,Underground,Monday,1966,3,7,10:41:00,Morning
usa,Underground,Saturday,1966,3,12,10:04:13,Morning
usa,Underground,Friday,1966,3,18,11:00:00,Morning
usa,Underground,Thursday,1966,3,24,6:55:28,Morning
usa,Underground,Friday,1966,4,1,10:40:00,Morning
usa,Underground,Wednesday,1966,4,6,5:57:17,Night
usa,Underground,Thursday,1966,4,7,14:27:30,Afternoon
usa,Underground,Thursday,1966,4,14,6:13:43,Morning
