date,closing-amount
12/4/1953,24.98
12/7/1953,24.95
12/8/1953,24.87
12/9/1953,24.84
12/10/1953,24.78
12/11/1953,24.76
12/14/1953,24.69
12/15/1953,24.71
12/16/1953,24.96
12/17/1953,24.94
12/18/1953,24.99
12/21/1953,24.95
12/22/1953,24.76
12/23/1953,24.69
12/24/1953,24.8
12/28/1953,24.71
12/29/1953,24.55
12/30/1953,24.76
12/31/1953,24.81
1/4/1954,24.95
1/5/1954,25.1
1/6/1954,25.14
1/7/1954,25.06
1/8/1954,24.93
1/11/1954,24.8
1/12/1954,24.93
1/13/1954,25.07
1/14/1954,25.19
1/15/1954,25.43
1/18/1954,25.43
1/19/1954,25.68
1/20/1954,25.75
1/21/1954,25.79
1/22/1954,25.85
1/25/1954,25.93
1/26/1954,26.09
1/27/1954,26.01
1/28/1954,26.02
1/29/1954,26.08
2/1/1954,25.99
2/2/1954,25.92
2/3/1954,26.01
2/4/1954,26.2
2/5/1954,26.3
2/8/1954,26.23
2/9/1954,26.17
2/10/1954,26.14
2/11/1954,26.06
2/12/1954,26.12
2/15/1954,26.04
2/16/1954,25.81
2/17/1954,25.86
2/18/1954,25.86
2/19/1954,25.92
2/23/1954,25.83
2/24/1954,25.83
2/25/1954,25.91
2/26/1954,26.15
3/1/1954,26.25
3/2/1954,26.32
3/3/1954,26.32
3/4/1954,26.41
3/5/1954,26.52
3/8/1954,26.45
3/9/1954,26.51
3/10/1954,26.57
3/11/1954,26.69
3/12/1954,26.69
3/15/1954,26.57
3/16/1954,26.56
3/17/1954,26.62
3/18/1954,26.73
3/19/1954,26.81
3/22/1954,26.79
3/23/1954,26.6
3/24/1954,26.47
3/25/1954,26.42
3/26/1954,26.56
3/29/1954,26.66
3/30/1954,26.69
3/31/1954,26.94
4/1/1954,27.17
4/2/1954,27.21
4/5/1954,27.26
4/6/1954,27.01
4/7/1954,27.11
4/8/1954,27.38
4/9/1954,27.38
4/12/1954,27.57
4/13/1954,27.64
4/14/1954,27.85
4/15/1954,27.94
4/19/1954,27.76
4/20/1954,27.75
4/21/1954,27.64
4/22/1954,27.68
4/23/1954,27.78
4/26/1954,27.88
4/27/1954,27.71
4/28/1954,27.76
4/29/1954,28.18
4/30/1954,28.26
5/3/1954,28.21
5/4/1954,28.28
5/5/1954,28.29
5/6/1954,28.51
5/7/1954,28.65
5/10/1954,28.62
5/11/1954,28.49
5/12/1954,28.72
5/13/1954,28.56
5/14/1954,28.8
5/17/1954,28.84
5/18/1954,28.85
5/19/1954,28.72
5/20/1954,28.82
5/21/1954,28.99
5/24/1954,29
5/25/1954,28.93
5/26/1954,29.17
5/27/1954,29.05
5/28/1954,29.19
6/1/1954,29.19
6/2/1954,29.16
6/3/1954,29.15
6/4/1954,29.1
6/7/1954,28.99
6/8/1954,28.34
6/9/1954,28.15
6/10/1954,28.34
6/11/1954,28.58
6/14/1954,28.62
6/15/1954,28.83
6/16/1954,29.04
6/17/1954,28.96
6/18/1954,29.04
6/21/1954,29.06
6/22/1954,29.08
6/23/1954,29.13
6/24/1954,29.26
6/25/1954,29.2
6/28/1954,29.28
6/29/1954,29.43
6/30/1954,29.21
7/1/1954,29.21
7/2/1954,29.59
7/6/1954,29.92
7/7/1954,29.94
7/8/1954,29.94
7/9/1954,30.14
7/12/1954,30.12
7/13/1954,30.02
7/14/1954,30.09
7/15/1954,30.19
7/16/1954,30.06
7/19/1954,29.98
7/20/1954,29.84
7/21/1954,30.03
7/22/1954,30.27
7/23/1954,30.31
7/26/1954,30.34
7/27/1954,30.52
7/28/1954,30.58
7/29/1954,30.69
7/30/1954,30.88
8/2/1954,30.99
8/3/1954,30.93
8/4/1954,30.9
8/5/1954,30.77
8/6/1954,30.38
8/9/1954,30.12
8/10/1954,30.37
8/11/1954,30.72
8/12/1954,30.59
8/13/1954,30.72
8/16/1954,31.05
8/17/1954,31.12
8/18/1954,31.09
8/19/1954,31.16
8/20/1954,31.21
8/23/1954,31
8/24/1954,30.87
8/25/1954,30.65
8/26/1954,30.57
8/27/1954,30.66
8/30/1954,30.35
8/31/1954,29.83
9/1/1954,30.04
9/2/1954,30.27
9/3/1954,30.5
9/7/1954,30.66
9/8/1954,30.68
9/9/1954,30.73
9/10/1954,30.84
9/13/1954,31.12
9/14/1954,31.28
9/15/1954,31.29
9/16/1954,31.46
9/17/1954,31.71
9/20/1954,31.57
9/21/1954,31.79
9/22/1954,32
9/23/1954,32.18
9/24/1954,32.4
9/27/1954,32.53
9/28/1954,32.69
9/29/1954,32.5
9/30/1954,32.31
10/1/1954,32.29
10/4/1954,32.47
10/5/1954,32.63
10/6/1954,32.76
10/7/1954,32.69
10/8/1954,32.67
10/11/1954,32.41
10/12/1954,32.28
10/13/1954,32.27
10/14/1954,31.88
10/15/1954,31.71
10/18/1954,31.83
10/19/1954,31.91
10/20/1954,32.17
10/21/1954,32.13
10/22/1954,32.13
10/25/1954,31.96
10/26/1954,31.94
10/27/1954,32.02
10/28/1954,31.88
10/29/1954,31.68
11/1/1954,31.79
11/3/1954,32.44
11/4/1954,32.82
11/5/1954,32.71
11/8/1954,33.02
11/9/1954,33.15
11/10/1954,33.18
11/11/1954,33.47
11/12/1954,33.54
