country,date,type,shot,yield,iodine131-released
usa,5/19/1962,Atmospheric,Chetco,73,0
usa,5/25/1962,Underground,White,8,0
usa,5/25/1962,Atmospheric,Tanana,3,0
usa,5/27/1962,Atmospheric,Nambe,43,0
usa,6/1/1962,Underground,Raccoon,3,0
usa,6/6/1962,Underground,Packrat,13,0
usa,6/8/1962,Atmospheric,Alma,782,0
usa,6/9/1962,Atmospheric,Truckee,210,0
usa,6/10/1962,Atmospheric,Yeso,3000,0
usa,6/12/1962,Atmospheric,Harlem,1200,0
usa,6/13/1962,Underground,Des Moines,3,33
usa,6/15/1962,Atmospheric,Rinconada,800,0
usa,6/17/1962,Atmospheric,Dulce,52,0
usa,6/19/1962,Atmospheric,Petit,2,0
usa,6/21/1962,Underground,Daman I,11,0
usa,6/22/1962,Atmospheric,Otowi,82,0
usa,6/27/1962,Atmospheric,Bighorn,7650,0
usa,6/27/1962,Underground,Haymaker,67,0
usa,6/28/1962,Underground,Marshmallow,0,0
usa,6/30/1962,Atmospheric,Bluestone,1270,0
usa,6/30/1962,Underground,Sacramento,4,0
usa,7/6/1962,Crater,Sedan,104,880
usa,7/7/1962,Atmospheric,Little Feller II,0,0
usa,7/9/1962,Atmospheric,Starfish Prime,1400,0
usa,7/10/1962,Atmospheric,Sunset,1000,0
usa,7/11/1962,Atmospheric,Pamlico,3880,0
usa,7/11/1962,Crater,Johnnie Boy,1,70
usa,7/13/1962,Underground,Merrimac,20,0
usa,7/14/1962,Atmospheric,Small Boy,1,270
usa,7/17/1962,Atmospheric,Little Feller I,0,3
usa,7/27/1962,Underground,Wichita,4,0
usa,8/24/1962,Underground,York,5,0
usa,8/24/1962,Underground,Bobac,3,0
usa,9/6/1962,Underground,Raritan,2,0
usa,9/14/1962,Underground,Hyrax,5,0
usa,9/20/1962,Underground,Peba,11,0
usa,9/29/1962,Underground,Allegheny,1,0
usa,10/2/1962,Atmospheric,Androscoggin,75,0
usa,10/5/1962,Underground,Mississippi,115,0
usa,10/6/1962,Atmospheric,Bumping,11,0
usa,10/12/1962,Underground,Roanoke,7,0
usa,10/12/1962,Underground,Wolverine,0,0
usa,10/18/1962,Atmospheric,Chama,1590,0
usa,10/18/1962,Underground,Tioga,0,0
usa,10/19/1962,Underground,Bandicoot,13,9
usa,10/20/1962,Atmospheric,Checkmate,0,0
usa,10/26/1962,Atmospheric,Bluegill 3 Prime,400,0
usa,10/27/1962,Underground,Santee,5,0
usa,10/27/1962,Atmospheric,Calamity,800,0
usa,10/30/1962,Atmospheric,Housatonic,8300,0
usa,11/1/1962,Atmospheric,Kingfish,400,0
usa,11/4/1962,Atmospheric,Tightrope,0,0
usa,11/9/1962,Underground,St. Lawrence,0,0
usa,11/15/1962,Underground,Gundi,0,0
usa,11/27/1962,Underground,Anacostia,5,0
usa,12/4/1962,Underground,Taunton,0,0
usa,12/12/1962,Underground,Madison,0,0
usa,12/12/1962,Underground,Numbat,11,0
usa,12/14/1962,Underground,Manatee,0,0
usa,2/8/1963,Underground,Casselman,6,0
usa,2/8/1963,Underground,Hatchie,0,0
usa,2/8/1963,Underground,Ferret,0,0
usa,2/8/1963,Underground,Acushi,9,0
usa,2/15/1963,Underground,Chipmunk,0,0
usa,2/21/1963,Underground,Kaweah,3,0
usa,2/21/1963,Underground,Carmel,0,0
usa,3/1/1963,Underground,Jerboa,0,0
usa,3/15/1963,Underground,Toyah,0,0
usa,3/29/1963,Underground,Gerbil,11,0
usa,4/5/1963,Underground,Ferret Prime,7,0
usa,4/10/1963,Underground,Coypu,0,0
usa,4/11/1963,Underground,Cumberland,6,0
usa,4/24/1963,Underground,Kootanai,0,0
usa,4/24/1963,Underground,Paisano,0,0
usa,5/9/1963,Underground,Gundi Prime,8,0
usa,5/15/1963,Atmospheric,Double Tracks,0,0
usa,5/17/1963,Underground,Harkee,0,0
usa,5/17/1963,Underground,Tejon,0,0
usa,5/22/1963,Underground,Stones,20,0
usa,5/25/1963,Atmospheric,Clean Slate I,0,0
usa,5/29/1963,Underground,Pleasant,2,0
usa,5/31/1963,Atmospheric,Clean Slate II,0,0
usa,6/5/1963,Underground,Yuba,3,0
usa,6/6/1963,Underground,Hutia,3,0
usa,6/6/1963,Underground,Apshapa,0,0
usa,6/9/1963,Atmospheric,Clean Slate III,0,0
