country,type,weekday,year,month,day,date,localtime,date-localtime,timeofday,ISO8601Time
usa,Atmospheric,Friday,1956,5,4,5/4/1956,11:25:30,5/4/1956 11:25:30,Morning,1956-05-04
uk,Atmospheric,Wednesday,1956,5,16,5/16/1956,3:50,5/16/1956 3:50:00,Night,1956-05-16
usa,Atmospheric,Sunday,1956,5,20,5/20/1956,10:50:39,5/20/1956 10:50:39,Morning,1956-05-20
usa,Atmospheric,Sunday,1956,5,27,5/27/1956,10:56:00,5/27/1956 10:56:00,Morning,1956-05-27
usa,Atmospheric,Sunday,1956,5,27,5/27/1956,12:56:00,5/27/1956 12:56:00,Afternoon,1956-05-27
usa,Atmospheric,Wednesday,1956,5,30,5/30/1956,11:15:29,5/30/1956 11:15:29,Morning,1956-05-30
usa,Atmospheric,Wednesday,1956,6,6,6/6/1956,17:55:30,6/6/1956 17:55:30,Afternoon,1956-06-06
usa,Atmospheric,Monday,1956,6,11,6/11/1956,11:26:00,6/11/1956 11:26:00,Morning,1956-06-11
usa,Atmospheric,Monday,1956,6,11,6/11/1956,11:26:00,6/11/1956 11:26:00,Morning,1956-06-11
usa,Atmospheric,Wednesday,1956,6,13,6/13/1956,16:26:00,6/13/1956 16:26:00,Afternoon,1956-06-13
usa,Atmospheric,Saturday,1956,6,16,6/16/1956,18:13:53,6/16/1956 18:13:53,Evening,1956-06-16
uk,Atmospheric,Tuesday,1956,6,19,6/19/1956,2:14,6/19/1956 2:14:00,Night,1956-06-19
usa,Atmospheric,Thursday,1956,6,21,6/21/1956,14:26:00,6/21/1956 14:26:00,Afternoon,1956-06-21
usa,Atmospheric,Monday,1956,6,25,6/25/1956,11:06:00,6/25/1956 11:06:00,Morning,1956-06-25
usa,Atmospheric,Monday,1956,7,2,7/2/1956,11:06:00,7/2/1956 11:06:00,Morning,1956-07-02
usa,Atmospheric,Sunday,1956,7,8,7/8/1956,11:06:00,7/8/1956 11:06:00,Morning,1956-07-08
usa,Atmospheric,Tuesday,1956,7,10,7/10/1956,10:56:00,7/10/1956 10:56:00,Morning,1956-07-10
usa,Atmospheric,Friday,1956,7,20,7/20/1956,10:46:00,7/20/1956 10:46:00,Morning,1956-07-20
usa,Atmospheric,Saturday,1956,7,21,7/21/1956,11:16:00,7/21/1956 11:16:00,Morning,1956-07-21
ussr,Atmospheric,Friday,1956,8,24,8/24/1956,3:15:00,8/24/1956 3:15:00,Night,1956-08-24
ussr,Atmospheric,Thursday,1956,8,30,8/30/1956,3:00:00,8/30/1956 3:00:00,Night,1956-08-30
ussr,Atmospheric,Sunday,1956,9,2,9/2/1956,3:00:00,9/2/1956 3:00:00,Night,1956-09-02
ussr,Atmospheric,Monday,1956,9,10,9/10/1956,3:00:00,9/10/1956 3:00:00,Night,1956-09-10
uk,Atmospheric,Thursday,1956,9,27,9/27/1956,7:30,9/27/1956 7:30:00,Morning,1956-09-27
uk,Atmospheric,Thursday,1956,10,4,10/4/1956,7:00,10/4/1956 7:00:00,Morning,1956-10-04
uk,Atmospheric,Thursday,1956,10,11,10/11/1956,5:57,10/11/1956 5:57:00,Night,1956-10-11
uk,Atmospheric,Monday,1956,10,22,10/22/1956,14:35,10/22/1956 14:35:00,Afternoon,1956-10-22
ussr,Atmospheric,Saturday,1956,11,17,11/17/1956,3:00:00,11/17/1956 3:00:00,Night,1956-11-17
ussr,Atmospheric,Friday,1956,12,14,12/14/1956,3:00:00,12/14/1956 3:00:00,Night,1956-12-14
ussr,Atmospheric,Saturday,1957,1,19,1/19/1957,3:00:00,1/19/1957 3:00:00,Night,1957-01-19
ussr,Atmospheric,Friday,1957,3,8,3/8/1957,3:00:00,3/8/1957 3:00:00,Night,1957-03-08
ussr,Atmospheric,Wednesday,1957,4,3,4/3/1957,3:00:00,4/3/1957 3:00:00,Night,1957-04-03
ussr,Atmospheric,Saturday,1957,4,6,4/6/1957,3:00:00,4/6/1957 3:00:00,Night,1957-04-06
ussr,Atmospheric,Wednesday,1957,4,10,4/10/1957,3:00:00,4/10/1957 3:00:00,Night,1957-04-10
ussr,Atmospheric,Friday,1957,4,12,4/12/1957,3:00:00,4/12/1957 3:00:00,Night,1957-04-12
ussr,Atmospheric,Tuesday,1957,4,16,4/16/1957,3:00:00,4/16/1957 3:00:00,Night,1957-04-16
usa,Atmospheric,Wednesday,1957,4,24,4/24/1957,6:27:00,4/24/1957 6:27:00,Morning,1957-04-24
uk,Atmospheric,Wednesday,1957,5,15,5/15/1957,19:37,5/15/1957 19:37:00,Evening,1957-05-15
usa,Atmospheric,Tuesday,1957,5,28,5/28/1957,4:55:00,5/28/1957 4:55:00,Night,1957-05-28
uk,Atmospheric,Friday,1957,5,31,5/31/1957,19:41,5/31/1957 19:41:00,Evening,1957-05-31
usa,Atmospheric,Sunday,1957,6,2,6/2/1957,4:55:00,6/2/1957 4:55:00,Night,1957-06-02
usa,Atmospheric,Wednesday,1957,6,5,6/5/1957,4:45:00,6/5/1957 4:45:00,Night,1957-06-05
usa,Atmospheric,Tuesday,1957,6,18,6/18/1957,4:45:00,6/18/1957 4:45:00,Night,1957-06-18
uk,Atmospheric,Wednesday,1957,6,19,6/19/1957,19:40,6/19/1957 19:40:00,Evening,1957-06-19
usa,Atmospheric,Monday,1957,6,24,6/24/1957,6:30:00,6/24/1957 6:30:00,Morning,1957-06-24
usa,Atmospheric,Monday,1957,7,1,7/1/1957,10:30:00,7/1/1957 10:30:00,Morning,1957-07-01
usa,Atmospheric,Friday,1957,7,5,7/5/1957,4:40:00,7/5/1957 4:40:00,Night,1957-07-05
usa,Atmospheric,Monday,1957,7,15,7/15/1957,4:30:00,7/15/1957 4:30:00,Night,1957-07-15
usa,Atmospheric,Friday,1957,7,19,7/19/1957,7:00:05,7/19/1957 7:00:05,Morning,1957-07-19
usa,Atmospheric,Wednesday,1957,7,24,7/24/1957,4:50:00,7/24/1957 4:50:00,Night,1957-07-24
usa,Atmospheric,Thursday,1957,7,25,7/25/1957,6:30:00,7/25/1957 6:30:00,Morning,1957-07-25
usa,Underground,Friday,1957,7,26,7/26/1957,1:00:00,7/26/1957 1:00:00,Night,1957-07-26
usa,Atmospheric,Wednesday,1957,8,7,8/7/1957,5:25:00,8/7/1957 5:25:00,Night,1957-08-07
usa,Underground,Saturday,1957,8,10,8/10/1957,17:59:55,8/10/1957 17:59:55,Afternoon,1957-08-10
usa,Atmospheric,Sunday,1957,8,18,8/18/1957,5:00:00,8/18/1957 5:00:00,Night,1957-08-18
ussr,Atmospheric,Thursday,1957,8,22,8/22/1957,9:30:00,8/22/1957 9:30:00,Morning,1957-08-22
usa,Atmospheric,Friday,1957,8,23,8/23/1957,5:30:00,8/23/1957 5:30:00,Night,1957-08-23
ussr,Atmospheric,Monday,1957,8,26,8/26/1957,3:00:00,8/26/1957 3:00:00,Night,1957-08-26
usa,Underground,Tuesday,1957,8,27,8/27/1957,15:35:00,8/27/1957 15:35:00,Afternoon,1957-08-27
usa,Atmospheric,Friday,1957,8,30,8/30/1957,5:40:00,8/30/1957 5:40:00,Night,1957-08-30
usa,Atmospheric,Saturday,1957,8,31,8/31/1957,5:30:00,8/31/1957 5:30:00,Night,1957-08-31
usa,Atmospheric,Monday,1957,9,2,9/2/1957,5:40:00,9/2/1957 5:40:00,Night,1957-09-02
usa,Atmospheric,Friday,1957,9,6,9/6/1957,5:45:00,9/6/1957 5:45:00,Night,1957-09-06
usa,Atmospheric,Friday,1957,9,6,9/6/1957,13:05:01,9/6/1957 13:05:01,Afternoon,1957-09-06
ussr,Atmospheric,Saturday,1957,9,7,9/7/1957,11:00:01,9/7/1957 11:00:01,Morning,1957-09-07
usa,Atmospheric,Sunday,1957,9,8,9/8/1957,6:00:00,9/8/1957 6:00:00,Morning,1957-09-08
ussr,Atmospheric,Friday,1957,9,13,9/13/1957,3:00:00,9/13/1957 3:00:00,Night,1957-09-13
uk,Atmospheric,Saturday,1957,9,14,9/14/1957,5:05,9/14/1957 5:05:00,Night,1957-09-14
usa,Atmospheric,Saturday,1957,9,14,9/14/1957,9:45:00,9/14/1957 9:45:00,Morning,1957-09-14
usa,Atmospheric,Monday,1957,9,16,9/16/1957,5:50:00,9/16/1957 5:50:00,Night,1957-09-16
usa,Underground,Thursday,1957,9,19,9/19/1957,9:59:59,9/19/1957 9:59:59,Morning,1957-09-19
usa,Atmospheric,Monday,1957,9,23,9/23/1957,5:30:00,9/23/1957 5:30:00,Night,1957-09-23
ussr,Atmospheric,Tuesday,1957,9,24,9/24/1957,12:00:00,9/24/1957 12:00:00,Afternoon,1957-09-24
uk,Atmospheric,Wednesday,1957,9,25,9/25/1957,0:30,9/25/1957 0:30:00,Night,1957-09-25
ussr,Atmospheric,Thursday,1957,9,26,9/26/1957,8:00:00,9/26/1957 8:00:00,Morning,1957-09-26
usa,Atmospheric,Saturday,1957,9,28,9/28/1957,6:00:00,9/28/1957 6:00:00,Morning,1957-09-28
ussr,Atmospheric,Sunday,1957,10,6,10/6/1957,12:00:00,10/6/1957 12:00:00,Afternoon,1957-10-06
usa,Atmospheric,Monday,1957,10,7,10/7/1957,5:00:00,10/7/1957 5:00:00,Night,1957-10-07
uk,Atmospheric,Wednesday,1957,10,9,10/9/1957,6:45,10/9/1957 6:45:00,Morning,1957-10-09
ussr,Underwater,Thursday,1957,10,10,10/10/1957,9:54:32,10/10/1957 9:54:32,Morning,1957-10-10
uk,Atmospheric,Friday,1957,11,8,11/8/1957,17:47,11/8/1957 17:47:00,Afternoon,1957-11-08
usa,Underground,Friday,1957,12,6,12/6/1957,12:15:00,12/6/1957 12:15:00,Afternoon,1957-12-06
